"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","집세","유치원납입금","고등학교납입금","보육시설이용료","독서실비","가정학습지","취업학원비","외국어학원비","운동강습료","혼인율","X20대취업율","X30대취업율","X40대취업율","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_silup_rate","F_silup_rate","대학교납입금","청소년학원비","예체능학원비","대학원납입금"
"2015. 01",99.43,100.05,100.61,99.85,99.36,100.97,98.7,96.07,100,94.92,100,99.3,98.6,98.62,100,1274,211,345,391,2445,1195,1225,885,638,5.2,5.7,300.22,198.9,397.9,199.49
"2015. 02",101.56,99.5,100.66,99.54,99.74,96.5,98.91,96.07,100,94.92,100,99.3,99.34,98.74,100,947,200,347,394,2113,1196,1226,895,638,6.4,6.3,300.22,198.9,397.9,199.49
"2015. 03",99.85,100.16,100.44,99.53,99.74,100.83,99.23,100.79,100,101.02,100,99.3,99.52,98.74,100,1702,201,346,398,2262,1197,1227,902,644,5.7,4.9,299.96,198.9,399.46,200.1
"2015. 04",99.34,99.81,99.73,99.61,100.07,100.96,99.4,100.79,100,101.02,100,99.3,99.52,100.06,100,1483,208,337,403,2201,1199,1229,921,647,6.3,4.2,299.96,198.9,399.46,200.1
"2015. 05",101.37,100.34,99.85,99.82,100.07,102.78,99.71,100.79,100,101.02,100,99.35,100.07,99.47,100,1678,215,334,401,2138,1200,1230,924,662,5.7,5.2,299.96,198.18,399.46,200.1
"2015. 06",100.39,100.55,100.05,99.91,100.07,104.58,100,100.79,100,101.02,100,99.35,100.07,99.94,100,1295,207,335,405,2011,1201,1231,919,665,5.2,5.4,299.96,200.89,399.46,200.1
"2015. 07",99.5,100.54,99.97,99.82,100.07,103.92,100.26,100.79,100,101.02,100,99.35,100.56,99.94,100,964,209,333,402,2194,1202,1232,918,664,4.5,5.9,299.96,200.89,401.06,200.1
"2015. 08",101.38,100.42,100.48,99.95,100.12,101.75,100.49,100.79,100,101.02,100,99.35,101.06,100.37,100,968,213,336,395,2031,1203,1234,918,648,4.9,4.2,299.96,200.89,401.06,200.1
"2015. 09",101.28,99.76,99.5,99.93,100.12,99.2,100.54,100.79,100,101.02,100,101.35,99.65,101.02,100,1282,218,334,400,2131,1205,1235,921,662,5.3,4,299.96,200.89,401.06,200.11
"2015. 10",99.33,99.68,99.46,99.92,100.12,97.9,100.75,100.79,100,101.02,100,101.35,100.84,101.02,100,1968,216,336,402,2118,1206,1236,919,662,4.8,4.4,299.96,200.89,401.06,200.11
"2015. 11",96.76,99.67,99.6,101.11,100.12,96.11,100.93,100.79,100,101.02,100,101.35,101.29,101.02,100,1792,223,341,403,1936,1207,1238,917,670,4.5,4,299.96,200.89,401.06,200.11
"2015. 12",99.82,99.52,99.66,101.01,100.39,94.49,101.09,100.79,100,101.02,100,101.35,99.47,101.02,100,1765,223,346,402,1911,1208,1239,908,654,4.2,3.5,299.96,200.89,401.06,200.11
"2016. 01",101.58,99.06,100.4,100.97,100.39,91.16,101.26,100.79,100,101.02,100,101.35,98.11,101.44,101.79,1178,220,345,408,2285,1207,1240,914,653,4.4,4.6,299.96,203.58,402.53,200.11
"2016. 02",105.76,98.82,99.54,101,100.44,88.28,101.43,100.79,100,101.02,100,101.35,99.36,101.44,101.79,996,213,340,403,2014,1209,1242,925,660,7,5.6,299.96,203.58,400.97,200.11
