"楷飞拌摸喊","15 - 19技","20 - 29技","30 - 39技","40 - 49技","50 - 59技","60技捞惑","15 - 64技","15 - 24技","15 - 29技","拌","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_non_gj_Ingu","F_non_gj_Ingu","M_gj_chamga","F_gj_chamga","M_silup_rate","F_silup_rate","M_goyong_rate","F_goyong_rate","M_goyong_rate_15_64","F_goyong_rate_15_64"
"2010. 08",13,224,338,393,252,120,"1279",83,236,1339,2153,1108,1130,828,570,280,560,74.7,50.4,4.4,4,71.4,48.4,75.3,52
"2010. 09",9,226,336,396,255,115,"1281",81,235,1338,2266,1110,1131,846,560,264,571,76.2,49.5,4.9,4.8,72.5,47.2,76.3,50.9
"2010. 10",9,225,335,396,266,117,"1287",78,234,1346,2365,1111,1133,854,566,257,567,76.9,49.9,5,5.5,73,47.2,76.9,50.8
"2010. 11",9,232,337,402,263,116,"1300",83,241,1359,2279,1113,1135,854,570,260,565,76.7,50.2,4.8,4,73,48.2,76.8,52
"2010. 12",13,222,341,402,259,103,"1292",80,235,1340,1879,1115,1137,851,569,265,568,76.3,50.1,5.5,5.8,72.1,47.1,76.4,51.4
"2011. 01",18,221,336,396,251,93,"1273",85,239,1314,2590,1117,1139,835,555,282,584,74.7,48.7,5,6.2,71,45.7,75.5,50.3
"2011. 02",18,217,338,384,259,95,"1270",82,235,1311,2102,1119,1141,840,553,279,587,75.1,48.5,6.2,5.5,70.4,45.8,74.9,50.3
"2011. 03",18,213,341,392,268,102,"1288",85,231,1335,2325,1120,1143,861,563,260,579,76.8,49.3,6.3,6.2,72,46.2,76.3,50.5
"2011. 04",16,213,344,399,280,117,"1311",84,229,1369,2299,1122,1144,860,584,262,560,76.7,51,4.9,5.7,72.9,48.2,76.7,52.3
"2011. 05",18,221,344,407,287,124,"1336",89,238,1400,2106,1124,1146,866,596,259,551,77,52,4.2,4.2,73.8,49.8,77.6,53.7
"2011. 06",16,218,345,408,291,126,"1340",87,234,1404,1986,1125,1148,865,607,260,541,76.9,52.8,4.4,5,73.5,50.2,77.2,54.3
"2011. 07",20,220,340,414,289,117,"1342",92,240,1400,2135,1127,1150,872,601,255,549,77.4,52.3,5.4,4.5,73.3,49.9,77.2,54.3
"2011. 08",21,220,335,412,292,120,"1341",91,241,1400,2250,1129,1152,863,598,266,554,76.5,51.9,4.3,4,73.2,49.8,77.3,54
"2011. 09",16,216,337,409,288,121,"1328",87,232,1387,2184,1130,1154,858,589,273,565,75.9,51.1,4.4,3.7,72.5,49.2,76.5,53.3
"2011. 10",14,219,338,417,300,126,"1350",89,233,1413,2141,1132,1156,866,606,265,550,76.6,52.4,3.9,4.3,73.6,50.2,77.3,54.6
"2011. 11",15,221,339,416,296,130,"1351",93,236,1416,2108,1134,1158,868,607,266,552,76.6,52.4,4.6,3,73,50.8,76.7,55.1
"2011. 12",17,223,338,417,300,122,"1358",94,240,1416,1892,1137,1160,871,602,266,558,76.6,51.9,3.9,3.9,73.6,49.9,77.7,54.5
"2012. 01",16,214,330,409,290,117,"1320",90,230,1376,2546,1138,1162,856,594,282,568,75.2,51.1,5,5.2,71.5,48.4,75.4,53
"2012. 02",16,212,333,407,293,116,"1318",90,228,1376,2211,1140,1164,855,598,285,566,75,51.4,5.1,5.6,71.2,48.5,75.1,53
"2012. 03",16,224,338,419,295,123,"1353",98,240,1415,2492,1142,1166,876,611,266,555,76.7,52.4,4.6,5.1,73.2,49.7,77.1,54.3
"2012. 04",21,219,341,415,303,139,"1364",102,240,1438,2270,1143,1168,885,624,258,545,77.4,53.4,4.4,5.1,74,50.7,77.4,54.8
"2012. 05",22,215,337,419,305,148,"1363",99,236,1445,2251,1145,1170,882,632,263,538,77,54,4.4,4.8,73.6,51.4,76.7,55.2
"2012. 06",20,215,344,417,308,147,"1369",99,235,1450,2236,1146,1172,884,635,262,538,77.2,54.1,4.7,4.2,73.5,51.8,76.6,55.9
"2012. 07",24,227,339,413,306,143,"1373",109,250,1451,2281,1148,1174,893,628,255,546,77.8,53.5,4.7,4.4,74.1,51.1,77.5,55.2
"2012. 08",22,211,340,410,310,138,"1356",96,233,1430,2385,1150,1176,878,619,271,557,76.4,52.6,4.4,4.6,73,50.2,76.6,54.3
"2012. 09",15,208,344,412,316,142,"1360",87,222,1436,2420,1151,1178,874,622,277,556,75.9,52.8,3.9,4.2,73,50.6,76.4,54.8
"2012. 10",16,215,347,414,317,142,"1378",95,231,1451,2461,1152,1180,879,630,273,550,76.3,53.4,3.9,3.7,73.3,51.4,77,55.8
"2012. 11",15,218,344,410,324,141,"1379",99,233,1452,2227,1154,1182,881,627,273,555,76.4,53.1,4.3,2.9,73.1,51.5,76.7,56
"2012. 12",14,216,340,407,314,133,"1357",95,230,1424,2001,1157,1184,875,617,282,567,75.6,52.1,4.9,4.1,71.9,50,75.6,54.8
"2013. 01",17,207,332,396,313,125,"1331",94,224,1389,2539,1158,1185,870,603,289,582,75.1,50.9,5.9,5.2,70.6,48.2,74.5,53.3
"2013. 02",19,204,334,389,308,133,"1323",94,223,1387,2182,1160,1187,866,607,294,581,74.6,51.1,6.5,4.8,69.8,48.7,73.4,53.6
"2013. 03",16,201,344,400,323,146,"1357",91,217,1431,2300,1162,1189,874,621,288,568,75.2,52.2,4.8,3.6,71.7,50.3,75,55.1
"2013. 04",17,204,343,398,334,157,"1370",94,222,1453,2096,1163,1191,881,634,283,557,75.7,53.3,4.6,3.4,72.2,51.5,75.4,55.8
"2013. 05",19,212,343,399,329,158,"1373",101,231,1460,2045,1165,1193,888,630,277,563,76.2,52.8,4.4,2.9,72.9,51.2,75.9,55.4
"2013. 06",18,212,344,402,336,159,"1382",102,230,1471,1909,1167,1195,892,632,275,563,76.5,52.9,4.1,2.7,73.3,51.5,76.4,55.7
"2013. 07",16,209,342,402,335,156,"1374",98,226,1460,2162,1169,1196,890,633,278,563,76.2,52.9,4.3,4.1,73,50.8,76.1,55
