"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","기타","집세","유치원납입금","고등학교납입금","전문대학납입금","국공립대학교납입금","사립대학교납입금","국공립대학원납입금","사립대학원납입금","보육시설이용료","독서실비","초등학생학원비","고등학생학원비","음악학원비","미술학원비","운동학원비","전산학원비","가정학습지","취업학원비","외국어학원비","운동강습료","혼인율","10대취업율","20대취업율","30대취업율","40대취업율","50대취업율","60세이상취업율","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_non_gj_Ingu","F_non_gj_Ingu","M_gj_chamga","F_gj_chamga","M_silup_rate","F_silup_rate","M_goyong_rate","F_goyong_rate","M_goyong_rate_15_64","F_goyong_rate_15_64"
"2005. 09",81.652,76.549,90.528,71.737,71.708,97.31,73.02,81.386,89.278,112.442,80.992,98.19,80.397,79.385,77.098,106.792,86.072,66.131,76.462,72.158,70.116,71.479,66.25,90.357,69.235,77.8,93.542,938,15,226,344,375,165,73,1971,999,1028,766,486,234,541,76.6,47.3,4.5,3.9,73.1,45.5,76.4,49.6
"2005. 10",79.276,76.702,90.619,72.527,71.78,96.941,72.437,81.468,89.278,112.442,80.992,98.19,80.397,79.385,77.098,106.792,86.072,67.259,76.462,72.158,70.116,71.479,66.25,90.357,69.235,77.8,93.542,2373,16,229,345,375,169,74,1925,1001,1029,768,490,233,540,76.7,47.6,4.2,3.9,73.5,45.7,76.8,49.7
"2005. 11",73.732,76.626,90.255,72.743,71.78,95.651,73.02,81.468,89.278,112.442,80.992,98.19,80.397,79.385,77.098,106.792,86.072,67.259,76.462,72.158,70.116,71.479,66.25,90.357,69.235,77.8,90.531,1896,15,231,346,377,169,74,1965,1003,1031,777,486,226,545,77.4,47.2,4.5,3.3,73.9,45.6,77.3,49.8
"2005. 12",77.296,76.777,91.076,72.743,71.78,95.651,73.02,81.468,89.278,112.442,80.992,98.19,80.397,79.385,77.098,106.792,84.892,67.259,76.462,72.158,70.116,71.479,66.25,90.357,69.235,77.8,90.531,1572,15,225,348,367,170,66,1836,1005,1033,763,487,242,546,75.9,47.1,5.3,3.9,71.9,45.3,75.3,49.8
"2006. 01",79.355,76.853,90.802,72.815,71.851,96.573,72.801,81.468,89.278,112.442,80.992,98.19,80.397,79.385,77.098,106.792,86.999,67.259,78.592,73.022,70.116,72.977,66.25,90.357,69.235,78.574,90.531,1004,19,227,344,363,163,62,2149,1001,1034,759,478,242,556,75.9,46.3,5.5,3.6,71.7,44.6,75.3,48.9
"2006. 02",77.533,77.005,90.346,73.03,72.713,97.125,73.31,81.223,89.278,112.442,80.992,98.19,80.397,79.385,77.098,106.792,91.636,68.388,78.592,73.022,70.116,73.762,66.25,90.357,69.235,78.574,90.531,1039,16,231,341,374,165,65,1939,1003,1036,761,493,241,543,75.9,47.6,5.8,3.9,71.5,45.8,74.9,50
"2006. 03",79.434,77.157,90.346,72.959,73,97.586,73.31,81.141,97.562,115.909,86.84,103.224,86.447,83.796,81.526,110.713,91.636,68.986,79.885,73.886,72.778,74.475,66.974,90.357,70.776,76.251,93.542,1583,9,229,342,378,170,73,2026,1005,1037,766,498,239,539,76.2,48,5.5,4.1,72,46.1,75.3,50
"2006. 04",79.038,77.537,90.711,72.959,72.856,99.06,73.02,81.141,97.562,115.909,86.84,103.224,86.447,83.796,81.526,110.713,93.322,68.986,79.885,73.886,72.778,74.475,66.974,90.357,70.776,79.426,93.542,1756,10,231,354,382,173,78,2026,1007,1039,782,503,225,536,77.7,48.4,4.7,4.2,74,46.4,77.4,50.3
"2006. 05",77.533,78.069,91.531,74.037,72.856,99.889,73.237,81.06,97.562,115.909,86.84,103.224,86.447,83.796,81.526,110.713,95.261,68.986,79.885,73.886,72.778,74.475,66.974,90.357,70.776,79.426,93.542,1863,10,234,351,385,174,81,1976,1009,1040,783,506,227,535,77.6,48.6,4.9,2.8,73.8,47.2,77.1,51.1
"2006. 06",76.108,77.841,89.891,74.109,72.856,99.889,73.529,80.978,97.562,115.909,86.84,103.224,86.447,83.796,81.526,110.713,95.261,68.986,79.885,73.886,72.778,74.475,66.974,90.357,70.776,79.426,93.542,1256,9,236,351,391,178,84,1839,1012,1042,784,515,227,527,77.5,49.4,4.4,3.1,74.1,47.8,77.3,51.7
"2006. 07",76.979,77.992,89.981,74.037,72.856,100.535,73.165,80.896,97.562,115.909,86.84,103.224,86.447,83.796,81.526,110.713,95.261,68.986,79.885,73.886,72.778,74.475,66.974,90.357,70.776,79.426,87.426,671,15,237,347,381,177,82,1956,1014,1044,787,508,227,536,77.6,48.7,5.1,3.1,73.7,47.2,76.9,51.1
"2006. 08",81.652,78.069,90.072,74.109,74.867,100.443,73.383,81.06,97.562,115.909,86.84,103.224,86.208,83.796,81.221,110.713,95.261,68.986,79.885,73.886,72.778,74.475,66.974,90.357,70.776,80.974,87.426,767,12,235,343,377,176,83,1983,1017,1046,780,497,236,549,76.8,47.5,4.5,3.5,73.3,45.8,76.5,49.6
"2006. 09",81.81,77.917,89.708,74.037,74.867,98.599,73.892,81.468,97.562,115.909,86.84,103.508,86.129,83.796,81.221,110.713,95.261,68.986,79.885,74.75,72.778,74.475,66.974,90.357,70.776,80.974,87.426,1144,9,232,350,379,176,82,2005,1019,1048,778,504,241,544,76.4,48.1,4.3,4,73.1,46.1,76.4,50.2
"2006. 10",78.087,77.309,89.343,74.612,74.867,94.729,73.601,81.631,97.562,115.909,86.84,103.508,86.129,83.796,81.221,110.713,94.333,68.986,79.885,74.75,72.778,74.475,66.974,90.357,70.776,80.974,87.426,2167,9,232,348,387,180,83,2012,1021,1050,784,509,237,541,76.8,48.5,4.6,3.6,73.3,46.7,76.7,50.9
"2006. 11",74.841,77.157,89.525,75.115,74.867,92.886,73.746,81.713,97.562,115.909,86.84,103.508,86.129,83.796,81.221,110.713,94.333,68.986,79.885,74.75,72.778,74.475,66.974,90.357,70.776,80.974,87.426,2187,8,234,347,391,181,82,1979,1023,1052,784,511,239,541,76.6,48.6,4.8,2.7,72.9,47.2,76.3,51.3
"2006. 12",77.137,77.234,89.708,75.115,75.799,92.886,73.674,81.794,97.562,115.909,86.84,103.508,86.129,83.796,81.221,110.713,94.333,68.986,79.885,74.75,72.778,74.475,66.974,90.357,70.776,80.974,87.426,1824,10,229,343,386,177,76,1821,1025,1054,775,504,251,550,75.5,47.8,5.3,3.2,71.5,46.3,74.8,50.6
"2007. 01",77.375,77.157,89.343,75.115,75.943,92.609,73.82,82.122,97.562,115.909,86.84,103.508,86.129,83.796,81.221,110.713,94.333,68.986,79.885,76.479,72.778,74.475,66.974,90.357,70.776,84.225,87.426,1421,13,224,347,380,171,71,2283,1028,1056,764,500,264,556,74.3,47.4,4.9,4.1,70.7,45.4,74.1,49.7
"2007. 02",80.622,77.309,89.343,75.331,76.23,92.886,74.11,82.285,97.562,115.909,86.84,103.508,86.129,83.796,81.221,110.713,94.333,68.986,79.885,76.479,72.778,74.475,66.974,97.857,70.776,84.225,87.426,896,14,224,351,385,171,70,2094,1030,1058,767,506,263,552,74.5,47.8,5.2,3.7,70.6,46.1,74.1,50.4
"2007. 03",78.008,77.689,89.07,75.259,76.302,95.374,73.965,82.367,107.697,119.49,93.489,111.865,92.894,91.829,87.098,118.87,94.333,71.243,81.178,77.343,77.121,76.044,66.974,97.857,70.776,85.774,87.426,1765,10,226,354,398,177,78,2312,1033,1060,785,511,247,549,76.1,48.2,4.5,3.9,72.6,46.4,76.1,50.5
"2007. 04",77.85,78.524,89.525,75.259,76.302,98.968,74.401,82.367,107.697,119.49,93.489,111.865,92.894,91.829,87.098,118.87,94.333,71.243,81.178,77.343,77.121,77.543,66.974,97.857,70.776,85.774,87.426,1605,11,225,354,399,184,83,2183,1035,1062,789,519,246,543,76.2,48.9,4.1,3.8,73.1,47,76.4,51.2
"2007. 05",76.662,78.828,88.796,75.977,76.302,100.351,74.329,82.612,107.697,119.49,93.489,111.865,92.894,91.829,87.098,118.87,94.333,71.243,81.178,77.343,77.121,77.543,66.974,97.857,70.776,85.774,90.719,2026,12,232,351,400,185,85,2079,1037,1064,799,516,239,548,77,48.5,3.9,3.7,73.9,46.7,77.2,50.7
"2007. 06",76.267,78.98,88.523,75.977,76.445,100.904,74.619,82.694,107.697,119.49,93.489,111.865,92.576,91.829,86.793,118.87,94.333,71.243,81.178,77.343,77.121,77.543,66.974,97.857,70.776,85.774,90.719,1233,11,236,354,400,187,87,2000,1040,1066,807,522,233,544,77.6,49,4,3.9,74.5,47.1,77.6,51
"2007. 07",76.267,79.284,89.253,76.121,76.302,101.641,74.838,82.857,107.697,119.49,93.489,111.865,92.576,91.829,86.793,118.87,94.333,71.243,81.178,77.343,77.121,77.543,66.974,97.857,70.776,86.548,90.719,778,15,245,353,402,190,87,2188,1043,1068,813,530,230,538,78,49.6,3.6,4.5,75.1,47.4,78.4,51.6
"2007. 08",76.9,79.208,89.434,76.049,76.302,100.535,74.983,82.939,107.697,119.49,93.489,111.865,92.576,91.829,86.793,118.87,94.333,71.243,81.178,77.343,77.121,77.543,66.974,97.857,70.776,86.548,90.719,657,13,236,349,397,190,84,2358,1045,1070,800,521,245,550,76.5,48.7,3.7,4.3,73.7,46.6,77,50.8
"2007. 09",81.018,79.512,89.799,76.049,76.158,101.548,74.838,83.184,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,72.372,81.178,77.343,77.121,77.543,66.974,97.857,70.776,86.548,90.719,1228,10,236,354,398,200,87,2390,1048,1073,804,533,244,540,76.7,49.7,4.1,3.6,73.6,47.9,76.9,52.1
"2007. 10",80.701,79.739,90.072,76.265,76.158,102.377,75.056,83.429,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,72.372,81.178,78.279,77.121,77.543,66.974,97.857,70.776,86.548,90.719,2269,10,235,355,403,199,94,2488,1050,1075,808,540,242,535,77,50.3,4.3,3.2,73.7,48.7,76.9,52.7
"2007. 11",77.929,80.499,90.619,76.768,76.23,106.248,75.056,83.756,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,72.372,81.178,78.279,77.121,77.543,66.974,97.857,70.776,86.548,90.719,2289,12,231,362,397,202,92,2254,1053,1077,802,542,251,535,76.1,50.4,4,2.9,73.1,48.9,76.3,53.3
"2007. 12",77.771,81.031,90.619,76.912,76.445,108.92,75.274,83.919,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,72.372,81.178,78.279,77.121,77.543,66.974,97.857,70.776,86.548,90.719,2060,12,235,352,397,200,87,2083,1055,1080,804,536,252,544,76.2,49.6,4.7,3.4,72.6,47.9,76.1,52.1
"2008. 01",78.325,81.714,92.17,76.912,77.163,111.409,74.983,84.083,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,74.63,81.178,78.279,78.872,80.61,66.974,97.857,71.337,86.548,90.719,1417,15,235,343,396,199,73,2417,1058,1082,798,520,260,562,75.4,48,4.8,3.6,71.8,46.3,75.6,50.8
"2008. 02",79.672,81.714,92.261,76.84,78.097,110.764,74.765,84.164,107.697,119.49,93.169,111.39,92.576,91.829,86.793,118.87,94.333,74.63,81.178,79.143,78.872,80.61,71.251,97.857,71.337,86.548,90.719,1105,11,235,337,391,205,76,2074,1060,1084,800,516,260,568,75.5,47.6,4.9,4.1,71.8,45.7,75.3,50.2
"2008. 03",78.167,82.853,93.355,76.84,79.173,113.067,75.274,84.328,121.181,122.399,100.538,121.362,99.581,100.178,92.9,132.325,94.333,79.808,84.145,79.143,80.623,80.61,71.974,97.857,78.415,86.548,91.66,1868,9,234,340,390,212,85,2328,1063,1086,811,518,252,568,76.3,47.7,4.8,4,72.7,45.8,76.1,49.9
"2008. 04",79.672,83.688,92.989,76.912,79.603,116.016,75.056,84.492,121.181,122.399,100.538,121.362,99.581,100.178,92.9,132.325,94.333,79.808,84.145,80.008,80.623,80.61,71.974,97.857,78.905,86.548,91.66,1829,13,238,337,392,216,97,2149,1065,1089,813,530,252,558,76.3,48.7,3.9,3.8,73.4,46.9,76.4,50.6
"2008. 05",79.434,85.435,93.628,77.774,79.603,123.94,76.074,84.737,121.181,122.399,100.538,121.362,99.502,100.178,92.9,132.325,94.333,79.808,84.145,80.008,80.623,80.61,71.974,97.857,81.428,86.548,91.66,1941,13,241,337,394,218,92,2086,1067,1091,813,532,255,559,76.1,48.8,4.1,3.2,73,47.2,76.3,51.2
"2008. 06",78.405,87.03,94.084,77.99,79.532,132.787,76.074,84.9,121.181,122.399,100.538,121.362,99.342,100.178,92.595,132.325,94.333,79.808,84.145,80.008,80.623,79.04,71.974,97.857,84.021,86.548,91.66,1381,10,231,339,395,219,94,1884,1070,1093,803,537,267,556,75,49.1,4.1,3.6,71.9,47.4,75.2,51.3
"2008. 07",79.434,88.093,95.816,77.99,79.819,135.366,76.583,85.227,121.181,122.399,100.538,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,80.623,79.04,71.974,97.857,84.021,86.548,91.66,869,14,237,337,394,220,93,2091,1072,1095,808,541,264,554,75.4,49.4,4.3,3.3,72.1,47.8,75.6,51.7
"2008. 08",81.573,86.726,94.357,77.99,79.819,126.244,77.092,85.227,121.181,122.399,100.538,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,80.623,79.04,71.974,97.857,84.021,86.548,93.448,903,13,232,334,384,217,95,2017,1073,1096,797,528,276,568,74.3,48.2,4.3,3.1,71.1,46.7,74.4,50.4
"2008. 09",81.256,86.954,96.455,78.062,79.819,121.545,77.528,85.308,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,80.623,80.61,71.974,97.857,84.021,87.709,93.448,1154,11,231,336,385,219,99,2181,1074,1097,793,534,281,563,73.8,48.7,3.8,3.2,71,47.1,74.1,50.6
"2008. 10",78.643,86.878,97.366,78.134,79.747,119.057,77.747,85.553,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,80.623,80.61,71.974,97.857,84.021,87.709,93.448,2160,10,228,342,393,227,101,2187,1075,1098,802,547,273,551,74.6,49.8,3.6,3.7,71.9,48,75,51.5
"2008. 11",78.325,85.511,97.001,79.068,81.111,107.723,77.965,85.717,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,81.464,80.61,71.974,97.857,84.021,87.709,93.448,1826,10,229,339,394,230,99,2001,1077,1100,808,541,269,558,75.1,49.2,3.8,3.2,72.2,47.7,75.6,51.2
"2008. 12",80.068,84.828,99.554,79.931,80.896,98.968,77.892,85.881,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,81.464,80.61,71.974,97.857,84.021,87.709,93.448,1655,9,224,333,391,220,87,1950,1078,1101,798,519,280,582,74,47.1,4.1,3.6,71,45.4,74.7,49.1
"2009. 01",83.711,84.371,99.006,79.931,81.757,95.835,77.747,86.126,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,81.464,80.61,71.974,97.857,84.021,87.709,93.448,1016,13,223,325,390,221,75,2434,1080,1102,783,518,297,584,72.5,47,4.3,3.9,69.3,45.2,73.3,49.6
"2009. 02",83.632,85.739,101.104,80.003,81.972,101.272,78.183,86.126,121.181,122.399,100.459,119.842,99.262,98.13,92.595,132.325,94.333,79.808,84.145,80.008,81.464,80.61,71.974,97.857,86.683,87.709,92.507,1090,9,231,321,389,216,82,2020,1081,1103,790,518,291,586,73.1,46.9,5,3.9,69.4,45.1,73.1,49.2
"2009. 03",85.691,86.346,101.468,80.074,82.547,102.838,78.328,86.371,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,79.808,88.939,80.008,85.037,80.61,73.356,97.857,86.683,87.709,92.507,1536,8,230,324,394,222,84,2257,1082,1104,797,531,285,574,73.6,48.1,5.3,4.4,69.7,45.9,73.4,50.2
"2009. 04",87.829,86.27,99.645,80.146,82.619,104.497,77.819,86.452,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,79.808,88.939,80.008,85.037,80.61,73.356,97.857,87.454,87.709,92.507,1440,9,233,332,396,231,99,2092,1083,1106,811,547,272,559,74.9,49.5,4.5,4.1,71.6,47.5,74.9,51.4
"2009. 05",85.929,86.346,99.098,82.015,82.619,102.285,78.619,86.452,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,79.808,88.939,80.008,85.037,80.61,73.356,97.857,87.454,87.709,92.507,1770,10,231,333,395,231,102,2012,1084,1107,819,552,265,555,75.5,49.9,5.8,4.1,71.2,47.8,74.6,51.7
"2009. 06",81.889,87.182,99.827,82.518,82.834,105.695,79.711,86.534,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,81.867,88.939,80.008,85.037,80.61,73.356,97.857,87.454,87.709,92.507,1195,10,240,335,403,237,110,1825,1085,1108,829,573,256,535,76.4,51.7,5.3,4,72.3,49.6,75.4,53.5
"2009. 07",83.315,87.485,100.374,82.662,82.762,106.708,79.42,86.616,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,81.867,88.939,80.008,85.037,80.61,73.356,97.857,89.697,87.709,92.507,760,15,246,335,400,230,114,1903,1087,1109,833,570,254,539,76.6,51.4,5.2,3.6,72.7,49.5,75.9,53.2
"2009. 08",84.265,87.713,99.919,82.734,82.69,109.473,79.056,86.697,129.553,122.399,104.544,121.741,99.581,98.917,93.358,144.192,96.188,81.867,88.939,80.008,85.037,80.61,73.356,97.857,89.697,87.709,92.507,881,15,237,332,392,233,107,1966,1088,1111,822,552,266,559,75.5,49.7,5,3.3,71.8,48,75,51.9
"2009. 09",82.839,87.865,100.557,82.806,82.69,110.118,78.983,86.779,129.553,122.399,104.304,121.741,100.138,98.917,93.358,144.192,96.188,81.867,88.939,80.008,85.037,80.61,73.356,97.857,89.697,87.709,92.507,1321,10,233,334,396,238,106,2044,1090,1112,812,562,277,551,74.5,50.5,4.9,3.2,70.9,48.9,74.5,52.8
"2009. 10",82.681,87.485,100.739,82.878,82.69,106.616,79.056,86.779,129.553,122.399,104.304,121.741,100.138,98.917,93.358,144.192,96.188,81.867,88.939,80.8,85.037,80.61,73.356,97.857,89.697,87.709,92.507,1902,11,235,338,393,235,106,2040,1091,1114,818,557,273,557,75,50,4.9,3.1,71.4,48.4,75,52.3
"2009. 11",79.988,88.473,101.559,84.316,82.762,110.118,79.492,87.024,129.553,122.399,104.304,121.741,100.138,98.917,93.358,144.192,94.333,81.867,88.939,82.456,85.037,80.61,73.356,97.857,89.697,87.709,92.507,1995,14,233,337,395,234,110,1912,1093,1115,824,566,269,550,75.4,50.7,5.3,4.2,71.5,48.6,75.1,52.5
"2009. 12",82.998,88.473,101.742,84.316,82.834,110.026,79.347,87.27,129.553,122.399,104.304,121.741,100.138,98.917,93.358,144.192,94.333,81.867,88.939,82.456,85.037,80.61,73.356,97.857,89.697,87.709,92.507,1611,10,235,340,391,231,92,1874,1094,1117,814,547,280,570,74.4,49,4.3,4.9,71.2,46.6,75.4,51.2
"2010. 01",84.504,89.143,103.326,84.308,83.414,112.48,78.589,87.402,129.581,122.399,104.367,121.665,100.118,98.92,93.397,143.593,94.289,86.116,90.714,84.102,84.991,82.111,73.293,97.857,89.535,87.842,92.507,1246,17,229,335,392,226,83,2352,1097,1119,815,552,282,567,74.3,49.4,5.6,7.1,70.1,45.8,74.7,50.7
"2010. 02",86.714,89.054,102.916,83.8,83.414,112.365,78.825,87.402,129.581,122.399,104.367,121.665,100.118,98.92,93.397,143.593,94.289,86.116,90.714,84.102,85.852,82.111,73.293,97.857,89.716,89.001,92.507,913,13,229,333,390,225,91,2034,1099,1120,819,549,280,571,74.5,49,6.1,6.8,70,45.7,74.4,50
"2010. 03",87.818,89.143,102.505,83.885,84.604,114.205,78.51,87.402,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,86.116,90.714,82.043,85.852,83.651,73.293,97.857,89.806,89.001,92.507,1674,11,227,333,391,235,104,2215,1100,1122,822,554,278,567,74.7,49.4,5.5,5.4,70.6,46.7,74.9,50.6
"2010. 04",91.04,89.502,102.813,83.8,84.604,116.16,78.51,87.578,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,86.116,90.714,82.043,85.852,85.19,75.797,97.857,89.987,88.912,92.507,1621,12,235,332,393,242,117,2100,1101,1123,833,566,268,557,75.7,50.4,5.1,4.3,71.8,48.2,75.6,51.7
"2010. 05",89.936,89.681,102.711,83.969,84.604,116.275,79.22,87.755,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,86.116,90.714,82.043,85.852,86.644,75.797,97.857,89.987,89.447,92.507,1875,12,237,333,397,249,124,2095,1103,1125,840,568,263,557,76.2,50.5,4.4,3.5,72.8,48.7,76.7,52.1
"2010. 06",88.095,89.771,102.505,84.561,84.604,115.125,79.299,87.931,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,86.116,90.714,82.043,85.852,86.644,77.011,97.857,89.987,89.447,92.507,1224,13,237,334,395,249,117,1980,1104,1126,834,572,270,555,75.5,50.8,4.5,4,72.1,48.7,76.1,52.5
"2010. 07",89.383,89.861,102.403,84.561,85.369,115.7,78.983,88.196,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,94.289,86.116,90.714,82.043,85.852,86.644,77.011,97.857,90.077,89.447,92.507,953,20,237,343,394,253,121,2034,1106,1128,854,583,253,545,77.2,51.7,4.9,4.5,73.4,49.4,77.3,53
"2010. 08",92.329,89.861,102.608,84.73,85.624,115.24,78.904,88.549,140.091,122.399,105.101,123.015,101.128,100.728,95.297,157.735,95.243,86.116,90.714,82.043,85.852,86.644,77.011,97.857,90.077,89.447,92.507,1014,13,224,338,393,252,120,2153,1108,1130,828,570,280,560,74.7,50.4,4.4,4,71.4,48.4,75.3,52
"2010. 09",102.087,89.681,102.403,84.73,86.305,113.515,78.983,88.637,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,86.116,90.714,82.043,85.852,86.644,77.011,97.857,90.077,89.447,92.507,1131,9,226,336,396,255,115,2266,1110,1131,846,560,264,571,76.2,49.5,4.9,4.8,72.5,47.2,76.3,50.9
"2010. 10",102.455,89.95,102.403,84.815,86.305,114.32,79.457,88.901,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,86.116,90.714,82.043,85.852,86.644,77.011,97.857,90.077,89.447,92.507,2082,9,225,335,396,266,117,2365,1111,1133,854,566,257,567,76.9,49.9,5,5.5,73,47.2,76.9,50.8
"2010. 11",95.735,89.771,102.3,85.745,85.794,115.355,77.563,89.166,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,86.116,90.714,82.043,87.66,86.644,77.011,97.857,90.98,89.447,92.507,1916,9,232,337,402,263,116,2279,1113,1135,854,570,260,565,76.7,50.2,4.8,4,73,48.2,76.8,52
"2010. 12",94.354,90.758,102.198,85.745,85.794,119.38,80.167,89.43,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,86.116,90.714,82.043,87.66,86.644,77.011,97.857,92.785,89.447,92.507,1758,13,222,341,402,259,103,1879,1115,1137,851,569,265,568,76.3,50.1,5.5,5.8,72.1,47.1,76.4,51.4
"2011. 01",98.496,91.654,103.224,85.83,85.794,123.98,79.93,89.607,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,86.116,92.528,82.043,87.66,86.644,77.011,97.857,92.965,90.696,92.507,1246,18,221,336,396,251,93,2590,1117,1139,835,555,282,584,74.7,48.7,5,6.2,71,45.7,75.5,50.3
"2011. 02",100.338,92.282,103.018,86.422,86.05,125.706,80.561,89.695,140.091,122.399,104.891,123.015,101.33,100.728,95.297,157.735,97.149,86.116,92.528,82.043,88.608,86.644,77.011,97.857,93.055,90.963,92.969,1121,18,217,338,384,259,95,2102,1119,1141,840,553,279,587,75.1,48.5,6.2,5.5,70.4,45.8,74.9,50.3
"2011. 03",99.693,93.179,102.916,86.506,88.175,130.766,80.877,89.96,146.453,100,105.626,123.506,103.654,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,78.225,97.857,93.146,90.963,92.969,1603,18,213,341,392,268,102,2325,1120,1143,861,563,260,579,76.8,49.3,6.3,6.2,72,46.2,76.3,50.5
"2011. 04",98.036,93.269,102.711,86.506,88.175,131.686,80.246,90.048,146.453,100,105.626,123.506,103.654,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,78.225,97.857,92.965,90.963,92.969,1656,16,213,344,399,280,117,2299,1122,1144,860,584,262,560,76.7,51,4.9,5.7,72.9,48.2,76.7,52.3
"2011. 05",95.275,93.896,102.916,87.69,88.175,130.076,81.745,90.665,146.453,100,105.626,123.506,103.654,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,78.225,97.857,93.055,90.963,92.969,1893,18,221,344,407,287,124,2106,1124,1146,866,596,259,551,77,52,4.2,4.2,73.8,49.8,77.6,53.7
"2011. 06",96.471,94.076,103.018,87.859,88.175,129.156,82.297,90.93,146.453,100,105.626,123.506,103.654,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,78.225,98.836,93.055,90.963,92.969,1380,16,218,345,408,291,126,1986,1125,1148,865,607,260,541,76.9,52.8,4.4,5,73.5,50.2,77.2,54.3
"2011. 07",98.496,94.614,102.711,87.944,88.77,131.686,82.613,91.371,146.453,100,105.626,123.506,103.553,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,78.225,98.836,93.055,91.498,92.969,900,20,220,340,414,289,117,2135,1127,1150,872,601,255,549,77.4,52.3,5.4,4.5,73.3,49.9,77.2,54.3
"2011. 08",103.928,94.704,102.711,87.944,88.77,131.801,82.455,91.459,146.453,100,105.626,123.506,103.553,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,84.294,98.836,93.055,91.498,92.969,998,21,220,335,412,292,120,2250,1129,1152,863,598,266,554,76.5,51.9,4.3,4,73.2,49.8,77.3,54
"2011. 09",102.363,94.883,102.608,87.944,88.77,132.031,82.849,91.547,146.453,100,105.206,123.506,103.452,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,88.012,98.836,93.055,91.498,92.969,1169,16,216,337,409,288,121,2184,1130,1154,858,589,273,565,75.9,51.1,4.4,3.7,72.5,49.2,76.5,53.3
"2011. 10",98.036,95.062,102.711,88.028,88.77,133.641,82.06,91.724,146.453,100,105.206,123.506,103.452,100.728,97.482,164.884,97.149,89.302,92.528,84.432,90.416,88.184,88.012,99.618,93.055,91.766,92.969,2257,14,219,338,417,300,126,2141,1132,1156,866,606,265,550,76.6,52.4,3.9,4.3,73.6,50.2,77.3,54.6
"2011. 11",96.563,95.69,102.711,90.058,88.77,133.066,82.613,91.988,146.453,100,105.206,123.506,103.452,100.728,97.482,164.884,98.103,89.302,92.528,84.432,90.416,88.184,89.226,99.618,93.055,91.766,92.969,2054,15,221,339,416,296,130,2108,1134,1158,868,607,266,552,76.6,52.4,4.6,3,73,50.8,76.7,55.1
"2011. 12",99.141,95.6,102.403,90.058,89.196,131.111,82.928,92.253,146.453,100,105.206,123.506,103.452,100.728,97.482,164.884,98.103,90.25,92.528,84.432,90.416,88.184,89.226,99.618,93.236,92.479,95.097,1736,17,223,338,417,300,122,1892,1137,1160,871,602,266,558,76.6,51.9,3.9,3.9,73.6,49.9,77.7,54.5
"2012. 01",102.722,95.932,102.988,90.058,89.247,131.801,82.936,92.279,146.494,100,105.217,123.519,103.411,100.728,97.492,164.899,96.215,90.258,92.528,86.046,90.399,89.732,89.226,99.618,93.561,93.398,95.069,1113,16,214,330,409,290,117,2546,1138,1162,856,594,282,568,75.2,51.1,5,5.2,71.5,48.4,75.4,53
